case_id,variant,metric,value,success
ablation_q3_01,A1-q3,dT_vs_mainline_s,-1853.761,True
ablation_q3_02,A1-q3,dT_vs_mainline_s,-615.901,True
ablation_q3_03,A1-q3,dT_vs_mainline_s,-121.704,True
ablation_q3_04,A1-q3,dT_vs_mainline_s,-1841.608,True
ablation_q3_05,A1-q3,dT_vs_mainline_s,-891.836,True
ablation_q3_06,A1-q3,dT_vs_mainline_s,-1965.935,True
ablation_q4_01,A1-q4,dT_vs_mainline_s,-4461.013,True
ablation_q4_02,A1-q4,dT_vs_mainline_s,656.077,True
ablation_q4_03,A1-q4,dT_vs_mainline_s,-4870.593,True
ablation_q4_04,A1-q4,dT_vs_mainline_s,-1049.768,True
ablation_q4_05,A1-q4,dT_vs_mainline_s,306.752,True
ablation_q4_06,A1-q4,dT_vs_mainline_s,-10741.420,True
ablation_q3_01,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q3_02,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q3_03,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q3_04,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q3_05,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q3_06,A2-q3,dT_vs_mainline_s,0.000,True
ablation_q4_01,A2-q4,dT_vs_mainline_s,3768.965,True
ablation_q4_02,A2-q4,dT_vs_mainline_s,5714.131,True
ablation_q4_03,A2-q4,dT_vs_mainline_s,-3001.852,True
ablation_q4_04,A2-q4,dT_vs_mainline_s,-1715.199,True
ablation_q4_05,A2-q4,dT_vs_mainline_s,1381.324,True
ablation_q4_06,A2-q4,dT_vs_mainline_s,-7425.671,True
ablation_q3_01,A3-q3,dT_vs_mainline_s,-3124.711,True
ablation_q3_02,A3-q3,dT_vs_mainline_s,-1184.416,True
ablation_q3_03,A3-q3,dT_vs_mainline_s,-1527.655,True
ablation_q3_04,A3-q3,dT_vs_mainline_s,-1005.545,True
ablation_q3_05,A3-q3,dT_vs_mainline_s,-1898.320,True
ablation_q3_06,A3-q3,dT_vs_mainline_s,-2433.980,True
ablation_q4_01,A3-q4,dT_vs_mainline_s,-3134.929,True
ablation_q4_02,A3-q4,dT_vs_mainline_s,2209.740,True
ablation_q4_03,A3-q4,dT_vs_mainline_s,-918.057,True
ablation_q4_04,A3-q4,dT_vs_mainline_s,-4163.721,True
ablation_q4_05,A3-q4,dT_vs_mainline_s,178.852,True
ablation_q4_06,A3-q4,dT_vs_mainline_s,-9999.420,True
ablation_q3_01,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q3_02,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q3_03,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q3_04,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q3_05,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q3_06,A4-q3,dT_vs_mainline_s,0.000,True
ablation_q4_01,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_02,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_03,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_04,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_05,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_06,A4-q4,dT_vs_mainline_s,0.000,True
ablation_q4_01,Q4naive-q4,dT_vs_mainline_s,-5755.971,True
ablation_q4_02,Q4naive-q4,dT_vs_mainline_s,5429.324,False
ablation_q4_03,Q4naive-q4,dT_vs_mainline_s,-5942.867,True
ablation_q4_04,Q4naive-q4,dT_vs_mainline_s,-7240.625,False
ablation_q4_05,Q4naive-q4,dT_vs_mainline_s,-7217.033,False
ablation_q4_06,Q4naive-q4,dT_vs_mainline_s,-9525.427,False
